1,01100011,011010100011
2,11100010,100100101000
3,00101011,001111111011
4,10101010,110111110011
5,10000011,111011010001
6,01000010,011101110111
7,11001110,000101100111
8,00101101,011010111110
9,01001111,100110101111
10,11101110,110100111010
11,01101111,111001110111
12,10100010,100001100010
13,00100010,011101111000
14,11001011,101001110011
15,11001000,110101011011
16,00010001,001111101010
17,01001111,100110110111
18,11000110,010100110110
19,01100111,100100100110
20,10100111,010101111001
21,00101110,001011101100
22,11011111,001001101000
23,01010100,110100111011
24,11010001,001111110011
25,00000011,010011100011
26,11000011,011000011011
27,01001010,110100101010
28,10101011,110000111001
29,00110110,100111110100
30,11110101,001100111010
